,County,fips,Population,Total Crashes,Total Fatal,Total Injury,Alcohol Involved Crashes,Alcohol Involved Fatal,Alcohol Involved Injury,Crashes per 1000 capita,Overall Fatal Rate,Alcohol Involved Fatal Rate
20,Marin,06041,260969,2893,21,1325,99,7,109,11.085607869133883,0.7258900795022468,7.07070707070707
21,Mariposa,06043,17842,202,4,101,8,2,8,11.321600717408362,1.9801980198019802,25.0
22,Mendocino,06045,88125,1471,23,506,62,9,73,16.692198581560284,1.563562202583277,14.516129032258066
23,Merced,06047,281592,4351,54,2216,157,13,183,15.451433279354529,1.2410940013789933,8.280254777070063
24,Modoc,06049,9458,141,6,74,4,0,4,14.908014379361386,4.25531914893617,0.0
25,Mono,06051,13585,333,8,98,3,2,7,24.51232977548767,2.4024024024024024,66.66666666666666
26,Monterey,06053,443397,5995,35,2793,249,14,287,13.520614708714763,0.5838198498748958,5.622489959839357
27,Napa,06055,139874,1835,18,1044,85,5,100,13.118949912063714,0.9809264305177112,5.88235294117647
28,Nevada,06057,97808,1205,10,530,65,2,71,12.320055619172255,0.8298755186721992,3.076923076923077
29,Orange,06059,3195197,29798,180,17542,1017,61,1138,9.325872551833267,0.6040673870729579,5.99803343166175
30,Placer,06061,394626,4052,24,2228,161,7,180,10.267949907000553,0.5923000987166831,4.3478260869565215
31,Plumas,06063,18450,282,3,155,25,1,30,15.284552845528456,1.0638297872340425,4.0
32,Riverside,06065,2428464,26336,288,14960,918,101,1077,10.844715013275882,1.0935601458080195,11.002178649237472
33,Sacramento,06067,1548760,20613,178,12340,736,48,819,13.309357163149874,0.8635327220685974,6.521739130434782
34,San Benito,06069,62051,822,11,409,28,4,28,13.24716765241495,1.338199513381995,14.285714285714285
35,San Bernardino,06071,2176150,30080,328,15809,890,96,1156,13.822576568710797,1.0904255319148937,10.786516853932584
36,San Diego,06073,3346937,26866,252,19676,1036,80,1714,8.027040843613129,0.9379885356956749,7.722007722007722
37,San Francisco,06075,897114,6894,39,5121,138,4,359,7.684642085621226,0.5657093124456049,2.898550724637681
38,San Joaquin,06077,767935,11835,120,6320,425,31,478,15.41146060538978,1.0139416983523446,7.294117647058823
39,San Luis Obispo,06079,277276,3930,34,1448,129,11,137,14.173603196814726,0.8651399491094147,8.527131782945736
40,San Mateo,06081,776002,7383,28,3901,231,5,305,9.514150736724906,0.37924962752268726,2.1645021645021645
41,Santa Barbara,06083,452066,5784,38,2487,211,9,246,12.794591940114938,0.656984785615491,4.265402843601896
42,Santa Clara,06085,1960932,16223,131,10367,412,34,769,8.273106869590583,0.8074955310361832,8.25242718446602
43,Santa Cruz,06087,272185,3320,19,1444,164,7,206,12.197586200562117,0.572289156626506,4.2682926829268295
44,Shasta,06089,177620,1640,37,1050,92,12,87,9.233194460083324,2.2560975609756095,13.043478260869565
45,Sierra,06091,3127,61,3,44,9,0,7,19.507515190278223,4.918032786885246,0.0
46,Siskiyou,06093,44000,685,10,340,30,1,32,15.568181818181818,1.4598540145985401,3.3333333333333335
47,Solano,06095,439990,5117,46,2694,138,12,169,11.629809768403828,0.8989642368575338,8.695652173913043
48,Sonoma,06097,495058,5438,36,3146,278,11,308,10.98457150475298,0.6620080912100037,3.9568345323741005
49,Stanislaus,06099,554212,7136,70,4705,286,23,362,12.875939171291853,0.9809417040358746,8.041958041958042
50,Sutter,06101,102808,1162,29,756,48,6,54,11.302622364018363,2.495697074010327,12.5
51,Tehama,06103,65163,763,20,407,38,6,45,11.709098721667205,2.621231979030144,15.789473684210526
52,Trinity,06105,13374,213,9,120,14,3,14,15.926424405563033,4.225352112676056,21.428571428571427
53,Tulare,06107,477731,5844,70,2931,207,19,240,12.232825585946904,1.1978097193702943,9.178743961352657
54,Tuolumne,06109,52557,971,12,548,58,5,65,18.47517932910935,1.235839340885685,8.620689655172415
55,Ventura,06111,844213,9179,49,5513,330,13,404,10.872848439907937,0.5338272142934961,3.939393939393939
56,Yolo,06113,220723,2647,28,1383,67,8,91,11.992406772289248,1.0578012844729883,11.940298507462686
57,Yuba,06115,78061,945,14,522,34,3,41,12.105917167343486,1.4814814814814816,8.823529411764707
